Date,Close,High,Low,Open,Volume,date,finbert_mean,article_count
2024-03-04,173.85154724121094,175.63870116419773,172.55087478393426,174.8940486462885,81510100,,0.0,
2024-03-05,168.90704345703125,170.8133520831047,168.41060844555398,169.5424796657224,95132400,,0.0,
2024-03-06,167.9141845703125,170.01907946057096,167.47731930724007,169.84035496658896,68587700,,0.0,
2024-03-07,167.7950439453125,169.51270494606766,167.28868565722726,167.94396839769192,71765100,,0.0,
2024-03-08,169.5126953125,172.4615205019895,167.73546463179477,167.79503440936114,76267000,,0.0,
2024-03-11,171.51829528808594,173.13667826239134,170.8232893067872,171.7069430151515,60139500,,0.0,
2024-03-12,171.994873046875,172.7891721100731,169.79070034274764,171.91544162555573,59825400,,0.0,
2024-03-13,169.90985107421875,171.95516088785197,169.54247886546352,171.53815729817867,52488700,,0.0,
2024-03-14,171.76651000976562,173.06716728584055,170.82328653971078,171.67715534575908,72913500,,0.0,
2024-03-15,171.3892364501953,171.3892364501953,169.07584723661714,169.94957779625068,121752700,,0.0,
2024-03-18,172.48138427734375,176.44294118443133,172.282813299669,174.31819990832292,75604200,,0.0,
2024-03-19,174.8245391845703,175.35075903574833,171.7962828664752,173.09694005146207,55215200,,0.0,
2024-03-20,177.39608764648438,177.39608764648438,173.84161109695287,174.46712406809783,53423100,,0.0,
2024-03-21,170.1481475830078,176.22452301821235,169.62192763151074,175.78765774149878,106181300,,0.0,
2024-03-22,171.05166625976562,171.81618050845861,168.8474933401544,170.5353695457136,71160100,,0.0,
2024-03-25,169.63186645507812,170.71409125238694,168.24183919385965,169.35386403283357,54288300,,0.0,
2024-03-26,168.49998474121094,170.19778406175462,168.37090678526505,168.78791039294236,57388400,,0.0,
2024-03-27,172.07431030273438,172.36225110852925,168.89712909220745,169.19499314475576,60273300,,0.0,
2024-03-28,170.25733947753906,171.00199196056712,169.29425438748996,170.52541861342735,65672700,,0.0,
2024-04-01,168.8177032470703,170.02900599080004,168.2716216576847,169.96943620832081,46240500,,0.0,
2024-04-02,167.63616943359375,168.13260444031488,167.0305181193942,167.87446369081778,49329500,,0.0,
2024-04-03,168.44039916992188,169.46305411699578,167.37803608655156,167.5865303145986,47691700,,0.0,
2024-04-04,167.6163330078125,170.69422114433502,167.6163330078125,169.0758380772312,53704400,,0.0,
2024-04-05,168.3708953857422,169.1751176568126,167.74538244157907,168.38081863168355,42104800,,0.0,
2024-04-08,167.24896240234375,167.99361496437555,167.04046816897213,167.82482886831443,37425500,,0.0,
2024-04-09,168.4602508544922,168.86733118994096,167.14967033425899,167.49716574379335,42373800,,0.0,
2024-04-10,166.583740234375,167.88439761067826,165.91851910107465,167.59647195447172,49709300,,0.0,
2024-04-11,173.79196166992188,174.20898041040104,166.96102623293754,167.13973556457645,91070300,,0.0,
2024-04-12,175.29119873046875,177.08829097776882,172.96788660357228,173.0175179827845,101670900,,0.0,
2024-04-15,171.458740234375,175.37065085788137,171.27009249111015,174.1097015871075,73531800,,0.0,
2024-04-16,168.1723175048828,172.5210775974863,167.0702312509368,170.52541444574328,73711200,,0.0,
2024-04-17,166.8021697998047,169.43326939438703,166.8021697998047,168.4006911997193,50901200,,0.0,
2024-04-18,165.84901428222656,167.4376124969012,165.36251763085394,166.83196113193097,43122900,,0.0,
2024-04-19,163.82354736328125,165.21355928091162,162.91010879598218,165.02492670994252,68149400,,0.0,
2024-04-22,164.65756225585938,166.06743588145892,163.59519920100377,164.33985172403135,48116400,,0.0,
2024-04-23,165.7100067138672,165.85894631264824,163.74412823991455,164.17107024309314,49537800,,0.0,
2024-04-24,167.8148956298828,168.09289802448964,165.02493328758231,165.35256706337344,48251800,,0.0,
2024-04-25,168.67869567871094,169.39356334150216,166.9510963019663,168.3212618473153,50558300,,0.0,
2024-04-26,168.0928955078125,170.1183436596222,167.97374080476908,168.66876193087458,44838400,,0.0,
2024-04-29,172.26296997070312,174.77493022282954,171.8658279731322,172.13389200399433,68169400,,0.0,
